Ticker,Company,Exchange,Sector,Date,Day_of_Week,Month,Quarter,Open,High,Low,Close,Adj Close,Volume,Avg_Volume_30D,Turnover_Value,Daily_Return_Pct,Log_Return,Volatility_30D,MA_50,MA_200,RSI,MACD,MACD_Signal,OBV,Sector_Daily_Return
AAPL,Apple Inc.,NASDAQ,Technology,2020-10-15,Thursday,October,4,118.72000122070312,121.1999969482422,118.1500015258789,120.70999908447266,117.83358001708984,112559200,170280466.66666666,13263253499.85962,-0.003960892554485507,-0.003968757664840652,0.03225150420069965,114.13282089233398,86.27093393325805,63.102220220338396,1.6537457035550744,0.7767216601142458,1406009000.0,-0.005537345171145162
AAPL,Apple Inc.,NASDAQ,Technology,2020-10-16,Friday,October,4,121.27999877929688,121.5500030517578,118.80999755859376,119.0199966430664,116.1838607788086,115393800,165540273.33333334,13406897193.937683,-0.014000416842482322,-0.014099347140729256,0.02883448068951714,114.23673461914062,86.48787317276,56.51056836878849,1.6063557660195187,0.9426484812953004,1290615200.0,-0.005933576601565793
AAPL,Apple Inc.,NASDAQ,Technology,2020-10-19,Monday,October,4,119.95999908447266,120.41999816894533,115.66000366210938,115.9800033569336,113.21630859375,120639300,158474676.66666666,13658336217.333984,-0.025541862399530935,-0.025873718781279358,0.029204679826183515,114.33176544189453,86.69351316452027,52.833624358668196,1.3141930393300498,1.0169573929022504,1169975900.0,-0.02047350664044219
AAPL,Apple Inc.,NASDAQ,Technology,2020-10-20,Tuesday,October,4,116.1999969482422,118.9800033569336,115.62999725341795,117.51000213623048,114.7098617553711,124423700,154909913.33333334,14272625426.091766,0.013192031962288686,0.013105774884582947,0.026472432922992378,114.42513641357422,86.9037488746643,52.56335166641724,1.189457901234519,1.0514574945687043,1294399600.0,0.005793339404226661
AAPL,Apple Inc.,NASDAQ,Technology,2020-10-21,Wednesday,October,4,116.66999816894533,118.70999908447266,116.4499969482422,116.87000274658205,114.08509063720705,89946000,152010096.66666666,10261497562.454226,-0.005446533616232818,-0.005461420058058056,0.025492970832191184,114.57146438598633,87.11256937026978,50.12190161760758,1.0283365739131654,1.0468333104375966,1204453600.0,-0.00202895538687331
AAPL,Apple Inc.,NASDAQ,Technology,2020-10-22,Thursday,October,4,117.4499969482422,118.04000091552734,114.58999633789062,115.75,112.99176025390624,101988000,149333883.33333334,11523803644.775389,-0.009583464212494008,-0.009629681121407378,0.024807337294903337,114.62495803833008,87.31010637283325,54.52434650199234,0.8031657418862466,0.9980997967273266,1102465600.0,-0.002943079901895499
AAPL,Apple Inc.,NASDAQ,Technology,2020-10-23,Friday,October,4,116.38999938964844,116.5500030517578,114.27999877929688,115.04000091552734,112.2986831665039,82572600,146057626.66666666,9272794245.63446,-0.006133872822628006,-0.006152762303927387,0.024703064021693998,114.6255436706543,87.49637361526489,47.33573240261007,0.5623087611961779,0.910941589621097,1019893000.0,0.001206673278179952
AAPL,Apple Inc.,NASDAQ,Technology,2020-10-26,Monday,October,4,114.01000213623048,116.5500030517578,112.87999725341795,115.0500030517578,112.3084487915039,111850700,145114313.33333334,12561778613.243866,8.696117108986101e-05,8.69573901864153e-05,0.024096184792010502,114.62832565307617,87.68184148788453,53.9260208836218,0.36797409671025605,0.8023480910389289,1131743700.0,-0.022862888773801677
AAPL,Apple Inc.,NASDAQ,Technology,2020-10-27,Tuesday,October,4,115.48999786376952,117.27999877929688,114.54000091552734,116.5999984741211,113.82154083251952,92276800,142035473.33333334,10503087559.094236,0.013472646602256999,0.013382697500079794,0.024217401977493735,114.66722671508789,87.8668402671814,53.2067557161913,0.33222665519448924,0.708323803870041,1224020500.0,0.007143505093051616
AAPL,Apple Inc.,NASDAQ,Technology,2020-10-28,Wednesday,October,4,115.0500030517578,115.43000030517578,111.0999984741211,111.1999969482422,108.55020904541016,143937800,141677433.33333334,15624478279.536438,-0.04631225116575921,-0.04741896841221079,0.025114945014238953,114.5820558166504,88.03066915512085,43.497785532577524,-0.12007175812937021,0.5426446914701588,1080082700.0,-0.040660786447727304
AAPL,Apple Inc.,NASDAQ,Technology,2020-10-29,Thursday,October,4,112.37000274658205,116.93000030517578,112.1999969482422,115.31999969482422,112.57202911376952,146129200,140614706.66666666,16450060556.771849,0.03705032080294668,0.036380453434534464,0.02580661185286299,114.57449111938476,88.21623090744019,47.348131325375334,-0.15223932142703234,0.4036678888907206,1226211900.0,0.018283593234804885
AAPL,Apple Inc.,NASDAQ,Technology,2020-10-30,Friday,October,4,111.05999755859376,111.98999786376952,107.72000122070312,108.86000061035156,106.26595306396484,190272600,137386963.33333334,20219499180.958557,-0.05601814322305154,-0.05764833253727806,0.027236389805188523,114.39067810058594,88.36553609848022,24.22041039438973,-0.6787557089360945,0.18718316932535758,1035939300.0,-0.021800786867245552
